year_month,hs_code,origin_country,reported_weight,taxable_value_usd
2017-01,3707901010,CN,2.81,512.98
2017-01,3707901010,DE,10.93,2013.95
2017-01,3707901010,JP,27.45,4859.8
2017-01,3707901010,TW,15.22,2767.26
2017-01,3707901010,US,15.64,2555.33
2017-02,3707901010,CN,7.76,1343.13
2017-02,3707901010,DE,8.49,1517.04
2017-02,3707901010,JP,38.58,7121.99
2017-02,3707901010,TW,5.49,989.34
2017-02,3707901010,US,9.78,1812.91
2017-03,3707901010,CN,11.65,2287.98
2017-03,3707901010,DE,9.69,1846.87
2017-03,3707901010,JP,59.12,10828.99
2017-03,3707901010,TW,5.04,950.66
2017-03,3707901010,US,17.63,3527.75
2017-04,3707901010,CN,34.01,6317.54
2017-04,3707901010,DE,8.53,1595.08
2017-04,3707901010,JP,34.4,6441.21
2017-04,3707901010,TW,3.68,688.27
2017-04,3707901010,US,8.87,1584.29
2017-05,3707901010,CN,4.09,794.89
2017-05,3707901010,DE,12.05,2162.22
2017-05,3707901010,JP,40.09,7366.39
2017-05,3707901010,TW,4.26,740.57
2017-05,3707901010,US,6.0,1043.25
2017-06,3707901010,CN,12.4,2412.34
2017-06,3707901010,DE,4.58,881.23
2017-06,3707901010,JP,32.5,5930.6
2017-06,3707901010,TW,4.07,723.5
2017-06,3707901010,US,2.97,538.91
2017-07,3707901010,CN,19.06,3805.76
2017-07,3707901010,DE,1.42,259.41
2017-07,3707901010,JP,20.97,3853.67
2017-07,3707901010,TW,7.9,1402.44
2017-07,3707901010,US,1.05,203.62
2017-08,3707901010,CN,4.37,892.65
2017-08,3707901010,DE,2.74,497.43
2017-08,3707901010,JP,37.86,6930.38
2017-08,3707901010,TW,7.82,1444.93
2017-08,3707901010,US,2.68,435.53
2017-09,3707901010,CN,8.7,1847.15
2017-09,3707901010,DE,3.33,623.22
2017-09,3707901010,JP,73.27,13834.13
2017-09,3707901010,TW,13.97,2599.43
2017-09,3707901010,US,6.88,1116.89
2017-10,3707901010,CN,4.73,885.87
2017-10,3707901010,DE,0.86,171.61
2017-10,3707901010,JP,41.2,7418.35
2017-10,3707901010,TW,9.12,1683.5
2017-10,3707901010,US,2.51,435.21
2017-11,3707901010,CN,4.73,785.58
2017-11,3707901010,DE,2.76,525.46
2017-11,3707901010,JP,55.6,10069.37
2017-11,3707901010,TW,18.3,3391.76
2017-11,3707901010,US,5.61,975.64
2017-12,3707901010,CN,6.64,1172.63
2017-12,3707901010,DE,6.89,1308.53
2017-12,3707901010,JP,51.18,9426.06
2017-12,3707901010,TW,15.32,2826.47
2017-12,3707901010,US,10.28,1840.72
2018-01,3707901010,CN,6.62,1224.99
2018-01,3707901010,DE,3.73,668.75
2018-01,3707901010,JP,86.0,15916.72
2018-01,3707901010,TW,6.8,1313.96
2018-01,3707901010,US,7.73,1453.08
2018-02,3707901010,CN,4.12,724.49
2018-02,3707901010,DE,22.82,4108.07
2018-02,3707901010,JP,60.82,11309.61
2018-02,3707901010,TW,10.05,1717.47
2018-02,3707901010,US,19.4,3730.78
2018-03,3707901010,CN,11.45,2074.35
2018-03,3707901010,DE,8.16,1421.52
2018-03,3707901010,JP,69.7,12946.56
2018-03,3707901010,TW,9.5,1784.33
2018-03,3707901010,US,9.67,1849.25
2018-04,3707901010,CN,5.41,971.68
2018-04,3707901010,DE,7.62,1333.97
2018-04,3707901010,JP,51.01,9348.96
2018-04,3707901010,TW,2.69,502.81
2018-04,3707901010,US,3.79,671.82
2018-05,3707901010,CN,6.33,1067.37
2018-05,3707901010,DE,3.66,738.87
2018-05,3707901010,JP,35.24,6818.57
2018-05,3707901010,TW,3.84,782.79
2018-05,3707901010,US,7.77,1307.85
2018-06,3707901010,CN,4.68,774.67
2018-06,3707901010,DE,9.79,1942.68
2018-06,3707901010,JP,23.32,4288.66
2018-06,3707901010,TW,2.8,579.37
2018-06,3707901010,US,4.4,760.1
2018-07,3707901010,CN,6.82,1196.73
2018-07,3707901010,DE,37.63,6645.31
2018-07,3707901010,JP,20.39,3603.54
2018-07,3707901010,TW,2.73,541.49
2018-07,3707901010,US,8.79,1440.54
2018-08,3707901010,CN,13.46,2450.54
2018-08,3707901010,DE,17.0,3157.2
2018-08,3707901010,JP,26.14,4658.32
2018-08,3707901010,TW,19.82,3685.06
2018-08,3707901010,US,3.77,643.73
2018-09,3707901010,CN,24.21,4435.42
2018-09,3707901010,DE,12.4,2051.57
2018-09,3707901010,JP,21.45,3775.62
2018-09,3707901010,TW,13.47,2501.63
2018-09,3707901010,US,1.7,294.13
2018-10,3707901010,CN,9.36,1706.85
2018-10,3707901010,DE,4.96,813.18
2018-10,3707901010,JP,38.5,6907.98
2018-10,3707901010,TW,7.87,1465.96
2018-10,3707901010,US,3.33,602.73
2018-11,3707901010,CN,18.02,3165.34
2018-11,3707901010,DE,5.77,1002.9
2018-11,3707901010,JP,48.25,8876.86
2018-11,3707901010,TW,15.6,2854.68
2018-11,3707901010,US,3.19,525.86
2018-12,3707901010,CN,6.35,1141.75
2018-12,3707901010,DE,21.13,3600.72
2018-12,3707901010,JP,34.33,6312.2
2018-12,3707901010,TW,4.56,761.55
2018-12,3707901010,US,2.5,435.55
2019-01,3707901010,CN,5.68,1118.74
2019-01,3707901010,DE,8.44,1684.28
2019-01,3707901010,JP,30.03,5675.55
2019-01,3707901010,TW,5.07,912.53
2019-01,3707901010,US,8.96,1582.61
2019-02,3707901010,CN,5.36,1070.3
2019-02,3707901010,DE,2.4,433.55
2019-02,3707901010,JP,26.43,4936.14
2019-02,3707901010,TW,9.51,1697.43
2019-02,3707901010,US,9.44,1754.48
2019-03,3707901010,CN,6.65,1253.92
2019-03,3707901010,DE,5.57,978.09
2019-03,3707901010,JP,17.88,3356.33
2019-03,3707901010,TW,6.38,1097.52
2019-03,3707901010,US,9.57,1695.05
2019-04,3707901010,CN,2.97,571.53
2019-04,3707901010,DE,7.54,1419.42
2019-04,3707901010,JP,19.83,3725.33
2019-04,3707901010,TW,5.33,1038.07
2019-04,3707901010,US,9.96,1825.34
2019-05,3707901010,CN,10.83,2013.71
2019-05,3707901010,DE,6.72,1226.07
2019-05,3707901010,JP,15.73,2932.78
2019-05,3707901010,TW,2.53,478.27
2019-05,3707901010,US,2.99,559.98
2019-06,3707901010,CN,29.09,4954.46
2019-06,3707901010,DE,11.32,1849.72
2019-06,3707901010,JP,38.69,7160.35
2019-06,3707901010,TW,1.97,327.86
2019-06,3707901010,US,2.08,372.49
2019-07,3707901010,CN,17.46,3105.96
2019-07,3707901010,DE,4.71,683.56
2019-07,3707901010,JP,41.2,8820.1
2019-07,3707901010,TW,5.89,944.81
2019-07,3707901010,US,6.23,1149.05
2019-08,3707901010,CN,13.77,2488.15
2019-08,3707901010,DE,3.07,487.77
2019-08,3707901010,JP,38.01,9289.55
2019-08,3707901010,TW,12.57,2181.31
2019-08,3707901010,US,3.98,754.54
2019-09,3707901010,CN,9.88,1745.58
2019-09,3707901010,DE,3.35,572.87
2019-09,3707901010,JP,44.08,10900.95
2019-09,3707901010,TW,9.45,1743.27
2019-09,3707901010,US,11.02,2217.56
2019-10,3707901010,CN,13.02,2333.34
2019-10,3707901010,DE,4.19,763.33
2019-10,3707901010,JP,88.88,18740.14
2019-10,3707901010,TW,3.63,693.18
2019-10,3707901010,US,3.04,587.64
2019-11,3707901010,CN,6.32,1093.43
2019-11,3707901010,DE,3.27,578.9
2019-11,3707901010,JP,39.27,8337.2
2019-11,3707901010,TW,1.9,354.18
2019-11,3707901010,US,8.69,1647.0
2019-12,3707901010,CN,3.57,733.32
2019-12,3707901010,DE,6.95,1342.86
2019-12,3707901010,JP,68.22,14341.26
2019-12,3707901010,TW,2.52,464.86
2019-12,3707901010,US,4.3,786.9
2020-01,3707901010,CN,8.29,1543.08
2020-01,3707901010,DE,19.62,3699.13
2020-01,3707901010,JP,36.11,7855.71
2020-01,3707901010,TW,8.06,1417.46
2020-01,3707901010,US,16.35,2867.13
2020-02,3707901010,CN,5.65,881.2
2020-02,3707901010,DE,6.19,1125.15
2020-02,3707901010,JP,90.15,19499.85
2020-02,3707901010,TW,6.43,1144.52
2020-02,3707901010,US,5.89,1083.33
2020-03,3707901010,CN,5.02,768.62
2020-03,3707901010,DE,3.56,611.0
2020-03,3707901010,JP,37.47,8123.76
2020-03,3707901010,TW,5.14,949.93
2020-03,3707901010,US,3.03,572.55
2020-04,3707901010,CN,4.33,672.9
2020-04,3707901010,DE,5.03,951.68
2020-04,3707901010,JP,58.57,12960.2
2020-04,3707901010,TW,6.82,1187.13
2020-04,3707901010,US,3.54,690.99
2020-05,3707901010,CN,6.54,1117.31
2020-05,3707901010,DE,3.89,672.25
2020-05,3707901010,JP,112.26,24936.68
2020-05,3707901010,TW,5.68,946.93
2020-05,3707901010,US,4.21,821.94
2020-06,3707901010,CN,18.29,3245.14
2020-06,3707901010,DE,1.85,327.54
2020-06,3707901010,JP,83.53,18417.73
2020-06,3707901010,TW,20.76,3723.57
2020-06,3707901010,US,5.2,975.62
2020-07,3707901010,CN,11.88,2250.48
2020-07,3707901010,DE,5.12,964.07
2020-07,3707901010,JP,34.33,7350.81
2020-07,3707901010,TW,12.21,2144.61
2020-07,3707901010,US,30.6,5864.3
2020-08,3707901010,CN,9.16,1681.33
2020-08,3707901010,DE,22.25,3753.52
2020-08,3707901010,JP,60.19,12264.68
2020-08,3707901010,TW,4.37,849.15
2020-08,3707901010,US,6.68,1258.6
2020-09,3707901010,CN,4.95,767.92
2020-09,3707901010,DE,25.33,4731.74
2020-09,3707901010,JP,41.82,8947.33
2020-09,3707901010,TW,4.13,689.75
2020-09,3707901010,US,9.64,1782.19
2020-10,3707901010,CN,3.27,566.0
2020-10,3707901010,DE,5.45,1102.55
2020-10,3707901010,JP,22.91,4715.06
2020-10,3707901010,TW,5.92,1109.42
2020-10,3707901010,US,4.81,865.87
2020-11,3707901010,CN,9.79,1727.93
2020-11,3707901010,DE,10.04,1783.15
2020-11,3707901010,JP,36.26,7389.84
2020-11,3707901010,TW,15.48,2720.56
2020-11,3707901010,US,4.91,891.51
2020-12,3707901010,CN,8.62,1509.64
2020-12,3707901010,DE,19.5,3079.93
2020-12,3707901010,JP,33.64,7129.21
2020-12,3707901010,TW,19.34,3521.75
2020-12,3707901010,US,4.64,782.06
2021-01,3707901010,CN,8.08,1647.75
2021-01,3707901010,DE,8.65,1506.16
2021-01,3707901010,JP,79.62,16799.8
2021-01,3707901010,TW,9.96,1884.27
2021-01,3707901010,US,8.3,1499.79
2021-02,3707901010,CN,4.75,837.7
2021-02,3707901010,DE,8.24,1491.45
2021-02,3707901010,JP,95.15,19913.66
2021-02,3707901010,TW,5.86,1157.73
2021-02,3707901010,US,3.14,597.56
2021-03,3707901010,CN,6.47,1080.93
2021-03,3707901010,DE,8.7,1435.49
2021-03,3707901010,JP,78.47,16674.24
2021-03,3707901010,TW,2.52,470.44
2021-03,3707901010,US,1.78,325.16
2021-04,3707901010,CN,3.27,592.26
2021-04,3707901010,DE,5.45,1049.05
2021-04,3707901010,JP,120.67,26573.41
2021-04,3707901010,TW,22.37,4218.72
2021-04,3707901010,US,3.91,722.87
2021-05,3707901010,CN,4.78,853.81
2021-05,3707901010,DE,3.53,683.09
2021-05,3707901010,JP,37.42,7980.43
2021-05,3707901010,TW,9.41,1811.56
2021-05,3707901010,US,2.88,473.21
2021-06,3707901010,CN,2.77,490.41
2021-06,3707901010,DE,4.3,786.62
2021-06,3707901010,JP,23.54,4853.13
2021-06,3707901010,TW,23.1,3749.05
2021-06,3707901010,US,16.37,2567.96
2021-07,3707901010,CN,3.02,557.59
2021-07,3707901010,DE,5.93,1041.47
2021-07,3707901010,JP,16.6,3481.41
2021-07,3707901010,TW,9.83,1575.56
2021-07,3707901010,US,5.27,847.62
2021-08,3707901010,CN,1.77,304.95
2021-08,3707901010,DE,4.78,819.92
2021-08,3707901010,JP,10.07,2078.94
2021-08,3707901010,TW,2.45,451.39
2021-08,3707901010,US,2.42,449.83
2021-09,3707901010,CN,8.91,1556.46
2021-09,3707901010,DE,1.94,318.19
2021-09,3707901010,JP,21.15,4447.09
2021-09,3707901010,TW,7.36,1353.74
2021-09,3707901010,US,11.09,2062.3
2021-10,3707901010,CN,7.33,1351.41
2021-10,3707901010,DE,5.64,987.08
2021-10,3707901010,JP,33.18,6850.73
2021-10,3707901010,TW,6.92,1119.12
2021-10,3707901010,US,4.75,892.39
2021-11,3707901010,CN,6.89,1242.63
2021-11,3707901010,DE,9.0,1573.78
2021-11,3707901010,JP,36.89,7518.15
2021-11,3707901010,TW,5.16,906.44
2021-11,3707901010,US,5.94,1144.91
2021-12,3707901010,CN,6.33,1171.44
2021-12,3707901010,DE,8.89,1398.98
2021-12,3707901010,JP,30.4,6313.31
2021-12,3707901010,TW,26.69,4608.0
2021-12,3707901010,US,5.49,1077.08
2022-01,3707901010,CN,6.03,1092.61
2022-01,3707901010,DE,2.68,392.56
2022-01,3707901010,JP,41.37,8804.16
2022-01,3707901010,TW,2.62,433.67
