date,trs_score,rationale,article_count,country_mention_count,risk_signal_count,positive_signal_count
2017.01.01,102.0,baseline,5,1,0,0
2017.01.02,100.4,baseline,7,3,2,1
2017.01.03,75.1,baseline,8,3,1,1
2017.01.04,106.8,baseline,10,2,1,1
2017.01.05,51.9,baseline,5,2,0,0
2017.01.06,83.4,baseline,7,2,0,0
2017.01.07,50.2,baseline,7,1,0,1
2017.01.08,32.8,baseline,8,2,0,1
2017.01.09,42.8,baseline,6,0,0,1
2017.01.10,99.0,baseline,7,3,0,0
2017.01.11,115.0,baseline,3,0,0,0
2017.01.12,85.0,baseline,9,3,2,1
2017.01.13,68.8,baseline,5,1,1,1
2017.01.14,82.6,baseline,4,0,0,0
2017.01.15,121.7,baseline,11,5,0,1
2017.01.16,81.1,baseline,7,5,1,0
2017.01.17,115.9,baseline,4,0,0,0
2017.01.18,158.0,low risk,5,2,1,0
2017.01.19,102.6,baseline,8,3,0,2
2017.01.20,92.8,baseline,2,0,0,0
2017.01.21,121.1,baseline,3,0,0,0
2017.01.22,139.3,baseline,9,2,1,3
2017.01.23,145.1,baseline,10,5,1,0
2017.01.24,84.2,baseline,7,2,3,1
2017.01.25,72.1,baseline,3,3,0,0
2017.01.26,100.0,baseline,12,2,0,2
2017.01.27,98.9,baseline,3,1,0,0
2017.01.28,90.5,baseline,6,1,1,0
2017.01.29,55.0,baseline,7,1,0,0
2017.01.30,39.0,baseline,13,1,0,1
2017.01.31,0.0,baseline,6,0,0,0
2017.02.01,28.3,baseline,10,2,0,0
2017.02.02,6.8,baseline,9,2,0,1
2017.02.03,71.9,baseline,8,2,0,0
2017.02.04,80.0,baseline,6,1,0,1
2017.02.05,84.9,baseline,9,2,0,0
2017.02.06,97.1,baseline,10,4,0,0
2017.02.07,62.1,baseline,5,0,0,1
2017.02.08,123.6,baseline,8,3,1,0
2017.02.09,83.2,baseline,11,3,0,1
2017.02.10,50.4,baseline,13,1,1,1
2017.02.11,20.9,baseline,11,0,1,0
2017.02.12,34.8,baseline,9,0,0,0
2017.02.13,35.1,baseline,11,5,0,4
